>>f125 78
>>f126 a9
>>f128 85
>>f12a d8
>>f12b a2
>>f12d 9a
>>f12e 20
>>f23f ad
>>f242 d0
>>f244 ee
>>f247 ad
>>f24a d0
>>f24c ad
>>f24f 10 << Questionable BPL in SPECL

>>f254 ce
>>f257 a0
>>f259 84
>>f25b a9
>>f25d 85
>>f25f b1 << HOWMCH 0
>>f261 49
>>f263 91
>>f265 d1
>>f267 d0
>>f269 49
>>f26b 91
>>f26d a5
>>f26f 18
>>f270 69
>>f272 85
>>f274 d0

>>f25f b1 << HOWMCH 1
>>f261 49
>>f263 91
>>f265 d1
>>f267 d0
>>f269 49
>>f26b 91
>>f26d a5
>>f26f 18
>>f270 69
>>f272 85
>>f274 d0

>>f25f b1 << HOWMCH 2
>>f261 49
>>f263 91
>>f265 d1
>>f267 d0
>>f269 49
>>f26b 91
>>f26d a5
>>f26f 18
>>f270 69
>>f272 85
>>f274 d0

>>f25f b1 << HOWMCH 3
>>f261 49
>>f263 91
>>f265 d1
>>f267 d0
>>f269 49
>>f26b 91
>>f26d a5
>>f26f 18
>>f270 69
>>f272 85
>>f274 d0

>>f25f b1 << HOWMCH 4
>>f261 49
>>f263 91
>>f265 d1
>>f267 d0
>>f269 49
>>f26b 91
>>f26d a5
>>f26f 18
>>f270 69
>>f272 85
>>f274 d0

>>f25f b1 << HOWMCH 5
>>f261 49
>>f263 91
>>f265 d1
>>f267 d0
>>f269 49
>>f26b 91
>>f26d a5
>>f26f 18
>>f270 69
>>f272 85
>>f274 d0

>>f25f b1 << HOWMCH 6
>>f261 49
>>f263 91
>>f265 d1
>>f267 d0
>>f269 49
>>f26b 91
>>f26d a5
>>f26f 18
>>f270 69
>>f272 85
>>f274 d0

>>f25f b1 << HOWMCH 7
>>f261 49
>>f263 91
>>f265 d1
>>f267 d0 
>>f276 60 << ENDRAM
>>f131 20

>>f277 a9 << HARDI
>>f279 aa
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
>>f286 e8
>>f287 d0
>>f27a 9d
>>f27d 9d
>>f280 9d
>>f283 9d
